Date,Location,Level,Type,Title/Description ,Comments,Travel restrictions,State of Emergency,School Closure ,Work Closure,Business closing,Gatherings,COVID/Antibody Testing,Safer at Home,Reopening,Relief/Funding/Grant,Masks,Other,Economics
4/9/2020,Alabama,State,Announcement,Begun paying the Federal Pandemic Unemployment Comensation benefit,,,,,1,,,,,,,,,
4/13/2020,Alabama,State,Issued,Supplemental Emergency Proclomation,direct board of aprdons and paroles to resume parole hearings,,1,,,,,,,,,,,
4/16/2020,Alabama,City,Announcement,New COVID-19 drive-thru testing sites in Adamsville and Montgomery,supported by Walmart and Quest Diagnostics,,,,,,,1,,,,,,
4/17/2020,Alabama,State,Announcement,Recommendations for reopening the state with a focus on small business,,,,,1,,,,,,,,,
4/28/2020,Alabama,State,Issued,Safer at Home order,"reopening portions of the economy on April 30, social distancing until May 15",,,,,,,,1,,,,,
5/8/2020,Alabama,State,Issued,Amended Safer at Home Order - some things will be opening May 11,,,,,,,,,1,,,,,
5/8/2020,Alabama,State,Issued,8th supplemental state of emergency providing operating loans and lines of credit financing to rural electric coops ,,,1,,,,,,,,,,,
5/8/2020,Alabama,State,Announcement,Approval of second request for Medicaid 1135 waiver ,allowing flexibility during enrollment,,,,,,,,,,,,1,
5/20/2020,Alabama,State,Issued,"amended Safer at Home Order to be applied Statewide. The order includes an expanded list of items to reopen such as athletic activities, theaters, childcare facilities, and summer camps","order is effective Friday, May 22, 2020 at 5:00 p.m. and will expire on Friday, July 3, 2020 at 5:00 p.m.",,,,,,,,1,,,,,
5/21/2020,Alabama,State,Announcement,"state will receive $3,299,821 in Coronavirus Aid, Relief, and Economic Security Act (CARES Act) funding to provide economic relief to qualifying applicants in the state’s seafood industry",,,,,,,,,,,1,,,
5/21/2020,Alabama,State,Announcement,Alabama Department of Public Health is partnering with Apple and Google to use their contact tracing app to track those who may have been exposed using Bluetooth signals,,,,,,,,,,,,,1,
6/5/2020,Alabama,State,Announcement,20 community action agencies would be awarded Community Service Block Grants valued at more than $17 million,,,,,,,,,,,,,1,
6/9/2020,Alabama,State,Announcement,Extended the time for obtaining motor vehicle registrations and paying property taxes on vehicles and associated penalty charges.,,,,,,,,,,,,,1,
6/9/2020,Alabama,State,Issued,11th supplemental State of Emergency for the pandemic.,,,1,,,,,,,,,,,
6/25/2020,Alabama,State,Announcement,Broadband group to gather guidance on allocation of $300 million of CARES Act money related to remote insutrction and learning,,,,1,,,,,,,,,,
6/29/2020,Alabama,State,Announcement,$30 million in federal funding will be used to expand coronavirus testing on college campuses,,,,,,,,,,,1,,,
6/30/2020,Alabama,State,Issued,Amendment to Safer at Home: extended to July 31 5pm EST,,,,,,,,,1,,,,,
7/7/2020,Alabama,State,Announcement,$18.27 million of relief fund to provide baseline testing and proactive surveillance for health care workers & nursing home residents,,,,,,,,,,,1,,,
7/8/2020,Alabama,State,Announcement,Revive Alabama Grant: Reimburse small businesses up to a combined $100 million for pandemic expenses,,,,,,,,,,,1,,,
3/3/2020,Alaska,State,Announcement,Promotion of telemedicine,able to refill prescription when quarantined,,,,,,,,,,,,1,
3/6/2020,Alaska,State,Announcement,Coverage requirements,"for cost sharing and coverage of respiratory viruses, including COVID-19",,,,,,,,,,,,1,
3/11/2020,Alaska,State,Issued,Public health disaster emergency,,,,,,,,,,,,,1,
3/13/2020,Alaska,State,Issued,Limiting/suspending visitation,to select state institutions,,,,,,1,,,,,,,
3/13/2020,Alaska,State,Issued,Non-student contact days,from March 16-30,,,,,,1,,,,,,,
3/16/2020,Alaska,State,Issued,Closing more properties,"libraries, archives, museums from March 17-31",,,,1,,,,,,,,,
3/16/2020,Alaska,State,Issued,Residential school programs,send students home by March 27,,,,,,,,,,,,1,
3/16/2020,Alaska,State,Signed,House Bill 206,financial resources to DHSS,,,,,,,,,,,,1,
3/16/2020,Alaska,State,Signed,House Bill 29,requiring health insurers to provide telehealth benefits,,,,,,,,,,,,1,
3/17/2020,Alaska,State,Announcement,Alasks Economic Stabilization Team,to develop a plan to protect state's economy,,,,,,,,,,,,1,
3/17/2020,Alaska,State,Announcement,No public dine-in service,,,,,,1,,,,,,,,
3/17/2020,Alaska,State,Issued,Health Mandate 004,"travelers coming from other countries, what to do",1,,,,,,,,,,,,
3/17/2020,Alaska,State,Announcement,Health Mandate 003,bar/restaurant closure until April 1,,,,,1,,,,,,,,
3/20/2020,Alaska,State,Announcement,COVID-19 Economic Stabilization Plan,,,,,,,,,,,,,1,
3/21/2020,Alaska,State,Announcement,Businesses can apply for US Small Business Administration loan,,,,,,1,,,,,,,,
3/23/2020,Alaska,State,Announcement,Health Mandate 009,"Personal Care Services & Gatherings Statewide - limit close contact, practice social distancing",,,,,,1,,,,,,,
3/23/2020,Alaska,State,Announcement,Health Mandate 010,International and Interstate Travel - all people arriving in Alaska must self-quarantine for 14 days ,1,,,,,,,,,,,,
3/26/2020,Alaska,State,Signed,House Bill 308,expands unemployment benefits,,,,,,,,,,,,1,
3/26/2020,Alaska,State,Signed,Senate Bill 74,support for teachers and students in rural school distrcits experiencing high cost for internet,,,,,,,,,,,,1,
3/26/2020,Alaska,State,Issued,Health Mandate 011 - social distancing,,,,,,,1,,,,,,,
3/26/2020,Alaska,State,Issued,Health Mandate 012 - Intrastate travel prohibited unless neccessary ,,1,,,,,,,,,,,,
4/2/2020,Alaska,State,Issued,Extension of Health Mandate 002 and 003,"Statewide closure of libraries, archives, museums, residential schools, restaurants, bars, entertainment",,,,,1,,,,,,,,
4/2/2020,Alaska,State,Announcement,Approval of Section 1135 Medicaid Waiver,,,,,,,,,,,,,1,
4/3/2020,Alaska,State,Announcement,Amendment of COVID-19 Disaster ORder of Suspension No. 2,includes additional suspensions of certain state gov't fees and fines,,,,,,,,,,,,1,
4/7/2020,Alaska,State,Announcement,April 10 as Alaska's Day of Prayer and Hope ,,,,,,,,,,,,,1,
4/7/2020,Alaska,State,Issued,Update to Health Mandate 005 on Elective Medical Procedures to preserve staff PPE,,,,,,,,,,,,,1,
4/10/2020,Alaska,State,Announcement,Disaster Order of Suspension No 2 Appendix A,"Suspending certain ffes, regulations, and statutes through May 11",,,,,,,,,,,,1,
4/13/2020,Alaska,State,Issued,Health Mandate 014,allowing elgible mergency protective measures at the direction of state public health officials to be reimbursed,,,,,,,,,,,,1,
4/15/2020,Alaska,State,Issued,Health Mandate 015,"allowing health care facilities and providers to resume services that require minimal protective equipment and safety protocols on April 20, on May 4 they can provide non-urgent elective procedures",,,,,,,,,1,,,,
4/21/2020,Alaska,State,Announcement,Phase One of reopening the state ,"limited dine-in serives, limited in-store shopping, personal services, non-essential businesses",,,,,,,,,1,,,,
4/21/2020,Alaska,State,Announcement,Exention Health Mandates,"international/interstate travel, social distancing, intrastate travel",1,,,,,,,,,,,,
4/22/2020,Alaska,State,Issued,Health Mandate 16,first to help reopen,,,,,,,,,1,,,,
4/23/2020,Alaska,State,Issued,Health Mandate 17,Establish standardized protective measure for fishing vessels,,,,,,,,,,,,1,
4/24/2020,Alaska,State,Issued,Further guidance on the 16th Health Mandate Phase 1 of Reopen AK,,,,,,,,,,1,,,,
5/1/2020,Alaska,State,Announcement,"Submission of revised plan for distribution of the Federal Coronavirus Aid, Relief, and Economic Secuirty Act funding",$1.5 billion ,,,,,,,,,,1,,,
5/7/2020,Alaska,State,Announcement,Phase 2 of #ReopenAlaskaResponsibly ,"restaurants, retail, non-essential businesses, bars, social and religous gatherings, indoor gyms, bowling alleys, theaters, and bingo to increase capacity while still social distancing",,,,,,,,,1,,,,
5/11/2020,Alaska,State,Announcement,Approval of plan to spend $568.5 to cities and boroughs,,,,,,,,,,,1,,,
5/12/2020,Alaska,State,Announcement,Directed Department of Health and Social Services to work in coordination with federal partners to disperse funding to the Child Care Program Office (CCPO) in order to meet the need of childcare providers statewide,,,,,,,,,,,,,1,
5/12/2020,Alaska,State,Issued,State of Alaska’s 18th COVID-19 Health permitting travel between communities on the road system and in-state travel by the Alaska Marine Highway System,,1,,,,,,,,,,,,
5/15/2020,Alaska,State,Issued,"updates to the State of Alaska’s 10th and 17th COVID-19 Health Mandates. Health Mandate 10 on International and Interstate Travel, Order for Self-Quarantine, has been extended from May 19, 2020, to June 2, 2020","Additional guidance regarding Commercial Fishing has been issued for COVID-19 Health Mandate 17 on Protective Measures for Independent Commercial Fishing Vessels.
May 19, 2020 ",,,,,,,,,,,,1,
5/19/2020,Alaska,State,Announcement,Plans for Phase Three of the state’s approach to reopening segments of the Alaskan economy in an effort to balance the ongoing need to slow the spread of COVID-19 with the critical need to resume economic activity in a reasonable and safe manner,,,,,,,,,,1,,,,
5/20/2020,Alaska,State,Announcement,"Permanent Fund Dividend Division will begin distribution of the 2020 Permanent Fund Dividend (PFD) to eligible Alaskans on July 1, 2020",,,,,,,,,,,1,,,
5/20/2020,Alaska,State,Announcement,"Friday, May 22 businesses & entities across the state may fully reopen",,,,,,,,,,1,,,,
6/3/2020,Alaska,State,Issued,updated guidance on COVID-19 Health Mandate 10 on Interstate and International Travel,,1,,,,,,,,,,,,
1/26/2020,Arizona,State,Announcement,Health Emergency Operations Center,"activated, provide support to outbreak",,,,,,,,,,,,1,
3/11/2020,Arizona,State,Issued,Declaration of Emergency,,,1,,,,,,,,,,,
3/11/2020,Arizona,State,Issued,Executive Order,provide more guidance/support to health officials and administrators,,,,,,,,,,,,1,
3/12/2020,Arizona,State,Signed,S.B. 1051,allows Senator to move $55 million to Public Health Emergency Fund,,,,,,,,,,,,1,
3/15/2020,Arizona,State,Announcement,Support youth impacted by school closures,Emergency operational funding,,,1,,,,,,,,,,
3/15/2020,Arizona,State,Ordered,School closure,March 16-27,,,1,,,,,,,,,,
3/16/2020,Arizona,State,Announcement,Cancellation of large events,they will be/should be cancelled,,,,,,1,,,,,,,
3/19/2020,Arizona,State,Announcement,National Guard,activation to assist grocery stores and food banks,,,,,,,,,,,,1,
3/19/2020,Arizona,State,Signed,Halt elective surgeries,to free up medical resources,,,,,,,,,,,,1,
3/19/2020,Arizona,State,Signed,Dine-out options only,,,,,,,,,,,,,1,
3/19/2020,Arizona,State,Signed,Delay driver licenses expiration dates,,,,,,,,,,,,,1,
3/20/2020,Arizona,State,Announcement,School closure extension,through April 10,,,1,,,,,,,,,,
3/20/2020,Arizona,State,Ordered,Exec order: economic relief to tax payers,"waives many aspects of applying for unemployment benefits, unemployment insurance for those affected by COVID-19 ",,,,1,,,,,,,,,
3/20/2020,Arizona,State,Issued,State income tax extension,to July 15,,,,,,,,,,,,1,
3/23/2020,Arizona,State,Ordered,Exec order: Enhanced Surveillance Advisory ,better tracking of cases,,,,,,,,,,,,1,
3/23/2020,Arizona,State,Ordered,"Exec order: clairfying what businessess are ""essential""",,,,,,1,,,,,,,,
3/23/2020,Arizona,State,Announcement,Approval of Section 1135,"medicaid waiver, more flexibility ",,,,,,,,,,,,1,
3/24/2020,Arizona,State,Ordered,Exec order: delaying eviction for 120 days,,,,,,,,,,,,,1,
3/24/2020,Arizona,State,Announcement,CRNAs do not need to be supervised by physician ,enables more healthcare workers to help more patients,,,,,,,,,,,,1,
3/24/2020,Arizona,State,Announcement,Arizona Enrichment Centers partnership,now offering childcare to first responders and healthcare workers ,,,,,,,,,,,,1,
3/24/2020,Arizona,State,Announcement,Arizona Together initiative launch,Connecting individuals and businesses to resources,,,,,,,,,,,,1,
3/24/2020,Arizona,State,Announcement,AZ + BSTRONG + Global Empowerment Mission + vErstandig Foundation,securing 1 million masks and other health equipment,,,,,,,,,,,,1,
3/25/2020,Arizona,State,Signed,HB 2668,more resources for the state's healthcare system,,,,,,,,,,,,1,
3/25/2020,Arizona,State,Ordered,Exec order: health insurance companies must expand to telemedicine,,,,,,,,,,,,,1,
3/26/2020,Arizona,State,Announcement,Waive emissions testing for vehicle owners 65+,,,,,,,,,,,,,1,
3/26/2020,Arizona,State,Ordered,"Exec order: defer requirements to renew licenses, suspend requirements for licenses, provisional licenses for those who cannot take the exam remotely  ",,,,,,,,,,,,,1,
3/26/2020,Arizona,State,Ordered,Exec order: hospitals must increase bed capacity and activate emergency plans ,,,,,,,,,,,,,1,
3/26/2020,Arizona,State,Announcement,Agreement with largest electric utilities to continue to provide reliable electricity ,,,,,,,,,,,,,1,
3/27/2020,Arizona,State,Announcement,$5 million in new funding to help rent payers ,Rental Eviction Prevention Assistance Program,,,,,,,,,,1,,,
3/27/2020,Arizona,State,Signed,HB2910 ,"support schools during closure, provide clarity on testing requirements and grades",,,1,,,,,,,,,,
3/27/2020,Arizona,State,Signed,SB1694,expand access to unemployment benefits ,,,,1,,,,,,,,,
3/28/2020,Arizona,State,Signed,Bipartisan state budget agreement ,adds $50 million for COVID-19 response,,,,,,,,,,,,1,
3/30/2020,Arizona,State,Ordered,"Exec order: stay home stay healthy, stay connected",,,,,,,,,1,,,,,
3/30/2020,Arizona,State,Announcement,"$6.7 million funding to support food banks, nutrition programs, programs for homeless",,,,,,,,,,,1,,,
3/30/2020,Arizona,State,Announcement,Agreement with banks to protect small businesses ,,,,,,,,,,,,,1,
3/30/2020,Arizona,State,Announcement,Extenion of school closure through end of school year,,,,1,,,,,,,,,,
3/31/2020,Arizona,State,Announcement,Defer payment of liquor licensing fees ,by 90 days,,,,,,,,,,,,1,
4/1/2020,Arizona,State,Announcement,"$250,000 added to AZ Coronavirus Relief Fund from Arizona Public Service",,,,,,,,,,,1,,,
4/1/2020,Arizona,State,Announcement,Gov made a request to assist dairy farmers by finding solutions to restart the int export of AZ dairy products to Mexico,,,,,,,,,,,,,1,
4/1/2020,Arizona,State,Ordered,Exec Order: allowing for pets and animals to be examined via telemedicine,,,,,,,,,,,,,1,
4/1/2020,Arizona,State,Announcement,Requested Presidential Major Disaster Declaration ,,,,,,,,,,,,,1,
4/2/2020,Arizona,State,Announcement,Extension of state and fed tax income filing ,to July 15,,,,,,,,,,,,1,
4/2/2020,Arizona,State,Ordered,Exec order: allowing pharmacists to give emrgency med refills for an additional 90-day supply,,,,,,,,,,,,,1,
4/3/2020,Arizona,State,Announcement,Launch of AZ Enrichment Centers to offer childcare,,,,,,,,,,,,,1,
4/3/2020,Arizona,State,Announcement,Additional guidance on essential services and recreational activities,,,,,,,,,,,,,1,
4/4/2020,Arizona,State,Announcement,Trump approved AZ's request for Presidential Major Disaster Declaration ,,,,,,,,,,,,,1,
4/4/2020,Arizona,State,Announcement,State has secured new agreement with Honeywell to produce over 6 million N95 masks ,,,,,,,,,,,,,1,
4/6/2020,Arizona,State,Ordered,Exec order: halting evictions in the state for small businesses and nonprofits,,,,,,,,,,,,,1,
4/7/2020,Arizona,State,Ordered,Exec order: allowing restaurants to repackage and sell grocery items they have on hand,,,,,,,,,,1,,,,
4/7/2020,Arizona,State,Ordered,Exec order: expanding healthcare reporting requirements on hospitals and providers to better track data,,,,,,,,,,,,,1,
4/7/2020,Arizona,State,Ordered,"Exec order: enhacing and reinforcing health protection in AZ residential care institutions, nursing care inst. and others",,,,,,,,,,,,,1,
4/7/2020,Arizona,State,Ordered,Exec order: increase quarantine guidelines for out-of-state travelers from an area with substantial community spread must isolate for 14 days,,,,,,,,,,,,,1,
4/7/2020,Arizona,State,Announcement,$2 million in funding toward 400 AZ Goodwill employees back to work,,,,,,,,,,,1,,,
4/7/2020,Arizona,State,Announcement,Governor took action to help ensure critical supplies and good residents rely on can be more easily transported via commerical vehicles,,,,,,,,,,,,,1,
4/8/2020,Arizona,State,Announcement,Mobile Hotspot Donation Drive to help K-12 students without home internet,,,,1,,,,,,,,,,
4/8/2020,Arizona,State,Announcement,AZ Health Care Cose Containment System will work with partners to make more funds avilable ,,,,,,,,,,,,,1,
4/8/2020,Arizona,State,Ordered,Exec order: allowing remote notarization,,,,,,,,,,,,,1,
4/8/2020,Arizona,State,Announcement,AZ dept of Economic Security was awarded funding from fed gov't,,,,,,,,,,,,,1,
4/9/2020,Arizona,State,Announcement,Residents recieving food assistance through SNAP will be able to use benefits online,,,,,,,,,,,,,1,
4/9/2020,Arizona,State,Ordered,"Exec order: providing ""Good Samaritan"" protections to help boost medical staffing levels",,,,,,,,,,,,,1,
4/14/2020,Arizona,State,Ordered,Exec order: help meet critical demand for nusring home and long-term facility care staff,,,,,,,,,,,,,1,
4/14/2020,Arizona,State,Ordered,Exec order: continue to increase data recieved by health care providers and share limited data with law enforcement ,,,,,,,,,,,,,1,
4/15/2020,Arizona,State,Ordered,Exec order: alloing food trucks to operate at rest areas,,,,,,,,,,,,,1,
4/21/2020,Arizona,State,Announcement,USDA Food and Nutrition Service aproved funds for school meals,,,,,,,,,,,,,1,
4/22/2020,Arizona,State,Ordered,Exec order: removing restrictions for elective surgeries,,,,,,,,,,1,,,,
4/29/2020,Arizona,State,Ordered,Exec order: extending physical distance measures and laying out steps to approach reopening the economy ,,,,,,,1,,,,,,,
5/1/2020,Arizona,State,Announcement,Additional guidlines as retail businesses resume partial openings,,,,,,,,,,1,,,,
5/4/2020,Arizona,State,Ordered,Exec order: allowing cosmetologists and barber shops to resume appt based services,Starting May 8,,,,,,,,,1,,,,
5/4/2020,Arizona,State,Ordered,Exec order: requiring expanded reporting of COVID-19 related information to residents of long-term care facilities and their families,,,,,,,,,,1,,,,
5/7/2020,Arizona,State,Announcement,"Retail businesses, cosmetologists and barbers that take necessary precautions to keep customers and employees safe and healthy can resume partial operations",,,,,,,,,,1,,,,
5/8/2020,Arizona,State,Issued,"amended Safer at Home Order, it will be effective Monday, May 11, 2020 and will expire on Friday, May 22, 2020 at 5:00 PM","The order which includes an expanded list of items including non-work-related gatherings, retailers, athletic facilities and others to reopen",,,,,,,,1,,,,,
5/8/2020,Arizona,State,Issued,eighth Supplemental State of Emergency providing liability protections for businesses and health care providers,,,1,,,,,,,,,,,
5/8/2020,Arizona,State,Issued,"ninth Supplemental State of Emergency providing operating loans and lines of credit financing to rural electric cooperatives, guidance on the administration of the July 14, 2020 Runoff election, protection against evictions based on nonpayment, and extension of the State of Emergency for another sixty days",,,1,,,,,,,,,,,
5/8/2020,Arizona,State,Announcement,Section 1135 waiver was approved from CMS,,,,,,,,,,,,,1,
5/12/2020,Arizona,State,Announcement,Stay at Home order in Arizona will be ending on May 15 and replaced by new guidance for the next stage of economic recovery,Also annouced accelerated plan to test all staff and residents of long-term care facilities as well as individuals within Arizona’s prisons,,,,,,,,,1,,,,
5/12/2020,Arizona,State,Announcement,"Released guidance for places of worship, businesses and customers are more industries resume partial operations",,,,,,,,,,1,,,,
5/14/2020,Arizona,State,Announcement,"$100,000 grant from the AZ Coronavirus Relief Fund to programs across the state supporting Arizona kids with special needs.",,,,,,,,,,,1,,,
5/14/2020,Arizona,State,Announcement,Arizona Enrichment Centers Program will expand to offer prioritized child care for the children of grocery store employees and food bank workers,,,,,,,,,,,,,1,
5/15/2020,Arizona,State,Announcement,"$300,000 in funding from the AZ Coronavirus Relief Fund has been allocated to organizations across the state that support senior citizens, the homebound and those who are medically fragile",,,,,,,,,,,1,,,
5/15/2020,Arizona,State,Announcement,partnership with the University of Arizona to expand antibody testing to all health care workers and first responders in the state,,,,,,,,1,,,,,,
5/18/2020,Arizona,State,Announcement,"$100,000 in funding from the AZ Coronavirus Relief Fund has been allocated to organizations that support foster families",,,,,,,,,,,1,,,
5/20/2020,Arizona,State,Announcement,"$300,000 in grant funding to organizations providing Arizonans in need with rental assistance, telehealth and transportation to health services",,,,,,,,,,,1,,,
5/20/2020,Arizona,State,Announcement,"$500,000 from the AZ Coronavirus Relief Fund has been allocated to organizations that provide out-of-school child care in the state",,,,1,,,,,,,,,,
5/20/2020,Arizona,State,Announcement,DOH will partner with UoA to get antibody testing for all correctional offiers in state prisons,,,,,,,,1,,,,,,
5/27/2020,Arizona,State,Announcement,state will be providing nearly $600 million in coronavirus relief and recovery dollars for local Arizona governments and nonprofits,,,,,,,,,,,1,,,
5/28/2020,Arizona,State,Issued,Executive order: increasing collaboration among Arizona hospitals and ensuring patient transfers can take place smoothly and efficiently if needs arise,,,,,,,,,,,,,1,
5/28/2020,Arizona,State,Issued,Executive order: protecting the health of kids in school-based child care while allowing for increased child care capacity,,,,,,,,,,,,,1,
5/28/2020,Arizona,State,Announcement,"schools will reopen for in-person instruction in a few months along with youth summer leagues, summer schools and day camps also can reopen, with some starting as soon as next week",,,,,,,,,,1,,,,
6/17/2020,Arizona,State,Issued,"Exec Order: Enhanced actions to boost testing, expand contact tracing, and securing PPE for healthcare & frontline workers",,,,,,,,,,,,,1,
6/17/2020,Arizona,State,Announcement,Local governments will be allowed to set their own rules on use of face masks,,,,,,,,,,,,,1,
6/24/2020,Arizona,State,Announcement,AZCares: Flexibility and Funding for Schools and Families Plan that will provide $270 million to help public schools,,,,,,,,,,,1,,,
6/24/2020,Arizona,State,Issued,Exec Order: streamline purchasing process for schools to obtain PPE,,,,,,,,,,,,,1,
6/25/2020,Arizona,State,Issued,Exec order: extension of Good Samaritan order,Protects frontline worker,,,,,,,,,,,,1,
6/29/2020,Arizona,State,Issued,"Exec Order: prohibit large gatherings, cease issuance of new special event licenses, and pause operations of bars, gyms, movie theaters, waterparks, and tubing rentals",,,,,,,1,,,,,,,
6/29/2020,Arizona,State,Announcement,First day of school for in person will be delayed until August 17,Schools can choose to do distant learning before,,,1,,,,,,,,,,
6/29/2020,Arizona,State,Announcement,"New grant for long-term care facilities. Facilities will receive $10,000 for technology to facilitate video conferencing with families",,,,,,,,,,,1,,,
7/8/2020,Arizona,State,Announcement,"$600,000 to fund the launch of Arizona Small Business Association’s (ASBA) Live Local program",,,,,,,,,,,,,,
3/11/2020,Arkansas,State,Declaration,Public health emergency,increases available support,,,,,,,,,,,,1,
3/12/2020,Arkansas,State,Ordered,State Capitol closure,,,,,,,,,,,,,1,
3/15/2020,Arkansas,State,Ordered,Public school closure,,,,1,,,,,,,,,,
3/15/2020,Arkansas,State,Announcement,National Guard activation,,,,,,,,,,,,,,
3/17/2020,Arkansas,State,Ordered,Expedite unemployment benefits,,,,,,,,,,,,,,
3/17/2020,Arkansas,State,Announcement,Established a $7mill loan program for businesses,,,,,,,,,,,,,,
3/18/2020,Arkansas,State,Announcement,Request for disaster declaration for small businesses,,,,,,,,,,,,,,
3/19/2020,Arkansas,State,Announcement,School closure,until April 17,,,,,,,,,,,,,
3/19/2020,Arkansas,State,Announcement,Dine-out options only,,,,,,,,,,,,,,
3/19/2020,Arkansas,State,Announcement,State moves to telecommuting,,,,,,,,,,,,,,
3/19/2020,Arkansas,State,Announcement,Screening of hospital staff,temperature and potential symptoms of virus,,,,,,,,,,,,,
3/20/2020,Arkansas,State,Authorization,release of $30 mill to purchase protective healthcare equipment,,,,,,,,,,,,,,
3/20/2020,Arkansas,State,Ordered,Exec order: expanding resources under Telemedicine Act,,,,,,,,,,,,,,
3/23/2020,Arkansas,State,Announcement,Tax filing extension,to July 15,,,,,,,,,,,,,
3/24/2020,Arkansas,State,Issued,"Closure of barbershops, body art establishments, cosmetology establishments, massage therapy, spas",,,,,,,,,,,,,,
3/24/2020,Arkansas,State,Ordered,Exec order 20-05,allowing doctors to intake new patients over the phone,,,,,,,,,,,,,
3/25/2020,Arkansas,State,Issued,"Official call to legislators: create COVID-19 Rainy Day Fund, confirm gubernatorial appointees, provide payment for session",,,,,,,,,,,,,,
3/25/2020,Arkansas,State,Announcement,Granted temp emergency licenses to medical residents ,,,,,,,,,,,,,,
3/26/2020,Arkansas,State,Announcement,Submitted Medicaid Section 1115 waiver - $116 mill in additional medicaid funding,,,,,,,,,,,,,,
3/27/2020,Arkansas,State,Announcement,"New plan, emphasis on rural providers ","waiving medicad regulation, financial assistance to hospitals fewer than 65 beds, assistance to expand telemedicine, funding to companies that provide non-emergency transportation",,,,,,,,,,,,,
3/30/2020,Arkansas,State,Announcement,$45 million funding to purchase PPE,,,,,,,,,,,,,,
4/1/2020,Arkansas,State,Announcement,"Implementation of ""day use"" operations only for all state parks",,,,,,,,,,,,,,
4/1/2020,Arkansas,County,Announcement,"Partnership with Walmart and Quest labs to start pilot, drive thru testing",in Benton County,,,,,,,,,,,,,
4/2/2020,Arkansas,State,Announcement,Approval of Section 1135 Medicaid Waiver,,,,,,,,,,,,,,
